rewrite,nbre_car
vaxainville,11,Vaxainville
veho,4,Vého
velaine-en-haye,15,Velaine-en-Haye
velaine-sous-amance,19,Velaine-sous-Amance
velle-sur-moselle,17,Velle-sur-Moselle
veney,5,Veney
vennezey,8,Vennezey
verdenal,8,Verdenal
vezelise,8,Vézelise
vieville-en-haye,16,Viéville-en-Haye
vigneulles,10,Vigneulles
vilcey-sur-trey,15,Vilcey-sur-Trey
villacourt,10,Villacourt
ville-au-montois,16,Ville-au-Montois
ville-au-val,12,Ville-au-Val
ville-en-vermois,16,Ville-en-Vermois
ville-houdlemont,16,Ville-Houdlémont
ville-sur-yron,14,Ville-sur-Yron
villecey-sur-mad,16,Villecey-sur-Mad
villers-en-haye,15,Villers-en-Haye
villers-la-chevre,17,Villers-la-Chèvre
villers-la-montagne,19,Villers-la-Montagne
villers-le-rond,15,Villers-le-Rond
villers-les-moivrons,20,Villers-lès-Moivrons
villers-les-nancy,17,Villers-lès-Nancy
villers-sous-preny,18,Villers-sous-Prény
villerupt,9,Villerupt
villette,8,Villette
villey-le-sec,13,Villey-le-Sec
villey-saint-etienne,20,Villey-Saint-Etienne
virecourt,9,Virecourt
viterne,7,Viterne
vitrey,6,Vitrey
vitrimont,9,Vitrimont
vittonville,11,Vittonville
viviers-sur-chiers,18,Viviers-sur-Chiers
voinemont,9,Voinémont
vroncourt,9,Vroncourt
waville,7,Waville
xammes,6,Xammes
xermamenil,10,Xermaménil
xeuilley,8,Xeuilley
xirocourt,9,Xirocourt
xivry-circourt,14,Xivry-Circourt
xonville,8,Xonville
xousse,6,Xousse
xures,5,Xures
abainville,10,Abainville
abaucourt-hautecourt,20,Abaucourt-Hautecourt
aincreville,11,Aincreville
amanty,6,Amanty
ambly-sur-meuse,15,Ambly-sur-Meuse
amel-sur-l-etang,16,Amel-sur-l'Etang
ancemont,8,Ancemont
ancerville,10,Ancerville
andernay,8,Andernay
apremont-la-foret,17,Apremont-la-Forêt
arrancy-sur-crusne,18,Arrancy-sur-Crusne
aubreville,10,Aubréville
aulnois-en-perthois,19,Aulnois-en-Perthois
autrecourt-sur-aire,19,Autrécourt-sur-Aire
autreville-saint-lambert,24,Autréville-Saint-Lambert
avillers-sainte-croix,21,Avillers-Sainte-Croix
avioth,6,Avioth
avocourt,8,Avocourt
azannes-et-soumazannes,22,Azannes-et-Soumazannes
baalon,6,Baâlon
badonvilliers-gerauvilliers,27,Badonvilliers-Gérauvilliers
bannoncourt,11,Bannoncourt
bantheville,11,Bantheville
bar-le-duc,10,Bar-le-Duc
baudignecourt,13,Baudignécourt
baudonvilliers,14,Baudonvilliers
baudremont,10,Baudrémont
baulny,6,Baulny
bazeilles-sur-othain,20,Bazeilles-sur-Othain
bazincourt-sur-saulx,20,Bazincourt-sur-Saulx
beauclair,9,Beauclair
beaufort-en-argonne,19,Beaufort-en-Argonne
beaulieu-en-argonne,19,Beaulieu-en-Argonne
beausite,8,Beausite
behonne,7,Behonne
belleray,8,Belleray
belleville-sur-meuse,20,Belleville-sur-Meuse
belrain,7,Belrain
belrupt-en-verdunois,20,Belrupt-en-Verdunois
beney-en-woevre,15,Beney-en-Woëvre
bethelainville,14,Béthelainville
bethincourt,11,Béthincourt
beurey-sur-saulx,16,Beurey-sur-Saulx
biencourt-sur-orge,18,Biencourt-sur-Orge
billy-sous-mangiennes,21,Billy-sous-Mangiennes
bislee,6,Bislée
blanzee,7,Blanzée
boinville-en-woevre,19,Boinville-en-Woëvre
boncourt-sur-meuse,18,Boncourt-sur-Meuse
bonnet,6,Bonnet
bonzee,6,Bonzée
bouconville-sur-madt,20,Bouconville-sur-Madt
bouligny,8,Bouligny
bouquemont,10,Bouquemont
boureuilles,11,Boureuilles
bovee-sur-barboure,18,Bovée-sur-Barboure
boviolles,9,Boviolles
brabant-en-argonne,18,Brabant-en-Argonne
brabant-le-roi,14,Brabant-le-Roi
brabant-sur-meuse,17,Brabant-sur-Meuse
brandeville,11,Brandeville
braquis,7,Braquis
bras-sur-meuse,14,Bras-sur-Meuse
brauvilliers,12,Brauvilliers
breheville,10,Bréhéville
breux,5,Breux
brieulles-sur-meuse,19,Brieulles-sur-Meuse
brillon-en-barrois,18,Brillon-en-Barrois
brixey-aux-chanoines,20,Brixey-aux-Chanoines
brizeaux,8,Brizeaux
brocourt-en-argonne,19,Brocourt-en-Argonne
brouennes,9,Brouennes
broussey-en-blois,17,Broussey-en-Blois
broussey-raulecourt,19,Broussey-Raulecourt
bure,4,Bure
burey-en-vaux,13,Burey-en-Vaux
burey-la-cote,13,Burey-la-Côte
buxieres-sous-les-cotes,23,Buxières-sous-les-Côtes
buzy-darmont,12,Buzy-Darmont
cesse,5,Cesse
chaillon,8,Chaillon
chalaines,9,Chalaines
champneuville,13,Champneuville
champougny,10,Champougny
chanteraine,11,Chanteraine
chardogne,9,Chardogne
charny-sur-meuse,16,Charny-sur-Meuse
charpentry,10,Charpentry
chassey-beaupre,15,Chassey-Beaupré
chatillon-sous-les-cotes,24,Châtillon-sous-les-Côtes
chattancourt,12,Chattancourt
chaumont-devant-damvillers,26,Chaumont-devant-Damvillers
chaumont-sur-aire,17,Chaumont-sur-Aire
chauvency-le-chateau,20,Chauvency-le-Château
chauvency-saint-hubert,22,Chauvency-Saint-Hubert
chauvoncourt,12,Chauvoncourt
cheppy,6,Cheppy
chonville-malaumont,19,Chonville-Malaumont
cierges-sous-montfaucon,23,Cierges-sous-Montfaucon
clermont-en-argonne,19,Clermont-en-Argonne
clery-le-grand,14,Cléry-le-Grand
clery-le-petit,14,Cléry-le-Petit
combles-en-barrois,18,Combles-en-Barrois
combres-sous-les-cotes,22,Combres-sous-les-Côtes
commercy,8,Commercy
consenvoye,10,Consenvoye
contrisson,10,Contrisson
courcelles-en-barrois,21,Courcelles-en-Barrois
courcelles-sur-aire,19,Courcelles-sur-Aire
courouvre,9,Courouvre
cousances-les-forges,20,Cousances-les-Forges
cousances-les-triconville,25,Cousances-lès-Triconville
couvertpuis,11,Couvertpuis
couvonges,9,Couvonges
cuisy,5,Cuisy
cunel,5,Cunel
dagonville,10,Dagonville
dainville-bertheleville,23,Dainville-Bertheléville
damloup,7,Damloup
dammarie-sur-saulx,18,Dammarie-sur-Saulx
damvillers,10,Damvillers
dannevoux,9,Dannevoux
delouze-rosieres,16,Delouze-Rosières
delut,5,Delut
demange-aux-eaux,16,Demange-aux-Eaux
dieppe-sous-douaumont,21,Dieppe-sous-Douaumont
dieue-sur-meuse,15,Dieue-sur-Meuse
dombasle-en-argonne,19,Dombasle-en-Argonne
dombras,7,Dombras
dommartin-la-montagne,21,Dommartin-la-Montagne
dommary-baroncourt,18,Dommary-Baroncourt
dompcevrin,10,Dompcevrin
dompierre-aux-bois,18,Dompierre-aux-Bois
domremy-la-canne,16,Domremy-la-Canne
doncourt-aux-templiers,22,Doncourt-aux-Templiers
douaumont,9,Douaumont
doulcon,7,Doulcon
dugny-sur-meuse,15,Dugny-sur-Meuse
dun-sur-meuse,13,Dun-sur-Meuse
duzey,5,Duzey
ecouviez,8,Ecouviez
ecurey-en-verdunois,19,Ecurey-en-Verdunois
eix,3,Eix
epiez-sur-meuse,15,Epiez-sur-Meuse
epinonville,11,Epinonville
erize-la-brulee,15,Erize-la-Brûlée
erize-la-petite,15,Erize-la-Petite
erize-saint-dizier,18,Erize-Saint-Dizier
erneville-aux-bois,18,Erneville-aux-Bois
esnes-en-argonne,16,Esnes-en-Argonne
etain,5,Etain
eton,4,Eton
etraye,6,Etraye
euville,7,Euville
evres,5,Evres
fains-veel,10,Fains-Véel
flassigny,9,Flassigny
foameix-ornel,13,Foameix-Ornel
fontaines-saint-clair,21,Fontaines-Saint-Clair
forges-sur-meuse,16,Forges-sur-Meuse
foucaucourt-sur-thabas,22,Foucaucourt-sur-Thabas
foucheres-aux-bois,18,Fouchères-aux-Bois
fremereville-sous-les-cotes,27,Frémeréville-sous-les-Côtes
fresnes-au-mont,15,Fresnes-au-Mont
fresnes-en-woevre,17,Fresnes-en-Woëvre
froidos,7,Froidos
fromereville-les-vallons,24,Fromeréville-les-Vallons
fromezey,8,Fromezey
futeau,6,Futeau
genicourt-sur-meuse,19,Génicourt-sur-Meuse
gercourt-et-drillancourt,24,Gercourt-et-Drillancourt
gery,4,Géry
gesnes-en-argonne,17,Gesnes-en-Argonne
geville,7,Geville
gimecourt,9,Gimécourt
gincrey,7,Gincrey
girauvoisin,11,Girauvoisin
givrauval,9,Givrauval
gondrecourt-le-chateau,22,Gondrecourt-le-Château
gouraincourt,12,Gouraincourt
goussaincourt,13,Goussaincourt
gremilly,8,Gremilly
grimaucourt-en-woevre,21,Grimaucourt-en-Woëvre
grimaucourt-pres-sampigny,25,Grimaucourt-près-Sampigny
guerpont,8,Guerpont
gussainville,12,Gussainville
haironville,11,Haironville
halles-sous-les-cotes,21,Halles-sous-les-Côtes
han-les-juvigny,15,Han-lès-Juvigny
han-sur-meuse,13,Han-sur-Meuse
hannonville-sous-les-cotes,26,Hannonville-sous-les-Côtes
harville,8,Harville
haudainville,12,Haudainville
haudiomont,10,Haudiomont
heippes,7,Heippes
hennemont,9,Hennemont
herbeuville,11,Herbeuville
hermeville-en-woevre,20,Herméville-en-Woëvre
heudicourt-sous-les-cotes,25,Heudicourt-sous-les-Côtes
hevilliers,10,Hévilliers
horville-en-ornois,18,Horville-en-Ornois
houdelaincourt,14,Houdelaincourt
inor,4,Inor
ippecourt,9,Ippécourt
ire-le-sec,10,Iré-le-Sec
jametz,6,Jametz
jonville-en-woevre,18,Jonville-en-Woëvre
jouy-en-argonne,15,Jouy-en-Argonne
julvecourt,10,Julvécourt
juvigny-en-perthois,19,Juvigny-en-Perthois
juvigny-sur-loison,18,Juvigny-sur-Loison
koeur-la-grande,15,Koeur-la-Grande
koeur-la-petite,15,Koeur-la-Petite
labeuville,10,Labeuville
lachalade,9,Lachalade
lachaussee,10,Lachaussée
lacroix-sur-meuse,17,Lacroix-sur-Meuse
lahaymeix,9,Lahaymeix
lahayville,10,Lahayville
laheycourt,10,Laheycourt
laimont,7,Laimont
lamorville,10,Lamorville
lamouilly,9,Lamouilly
landrecourt-lempire,19,Landrecourt-Lempire
laneuville-au-rupt,18,Laneuville-au-Rupt
laneuville-sur-meuse,20,Laneuville-sur-Meuse
lanheres,8,Lanhères
latour-en-woevre,16,Latour-en-Woëvre
lavallee,8,Lavallée
lavincourt,10,Lavincourt
lavoye,6,Lavoye
le-bouchon-sur-saulx,20,"Le Bouchon-sur-Saulx"
le-claon,8,"Le Claon"
le-neufour,10,"Le Neufour"
lemmes,6,Lemmes
lerouville,10,Lérouville
les-eparges,11,"Les Eparges"
les-hauts-de-chee,17,"Les Hauts-de-Chée"
les-islettes,12,"Les Islettes"
les-monthairons,15,"Les Monthairons"
les-paroches,12,"Les Paroches"
les-roises,10,"Les Roises"
les-souhesmes-rampont,21,"Les Souhesmes-Rampont"
les-trois-domaines,18,"Les Trois-Domaines"
levoncourt,10,Levoncourt
lignieres-sur-aire,18,Lignières-sur-Aire
ligny-en-barrois,16,Ligny-en-Barrois
liny-devant-dun,15,Liny-devant-Dun
lion-devant-dun,15,Lion-devant-Dun
lisle-en-barrois,16,Lisle-en-Barrois
lisle-en-rigault,16,Lisle-en-Rigault
lissey,6,Lissey
loisey,6,Loisey
loison,6,Loison
longchamps-sur-aire,19,Longchamps-sur-Aire
longeaux,8,Longeaux
longeville-en-barrois,21,Longeville-en-Barrois
loupmont,8,Loupmont
louppy-le-chateau,17,Louppy-le-Château
louppy-sur-loison,17,Louppy-sur-Loison
luzy-saint-martin,17,Luzy-Saint-Martin
maizeray,8,Maizeray
maizey,6,Maizey
malancourt,10,Malancourt
mandres-en-barrois,18,Mandres-en-Barrois
mangiennes,10,Mangiennes
manheulles,10,Manheulles
marcheville-en-woevre,21,Marchéville-en-Woëvre
marre,5,Marre
marson-sur-barboure,19,Marson-sur-Barboure
martincourt-sur-meuse,21,Martincourt-sur-Meuse
marville,8,Marville
maucourt-sur-orne,17,Maucourt-sur-Orne
maulan,6,Maulan
mauvages,8,Mauvages
maxey-sur-vaise,15,Maxey-sur-Vaise
mecrin,6,Mécrin
meligny-le-grand,16,Méligny-le-Grand
meligny-le-petit,16,Méligny-le-Petit
menaucourt,10,Menaucourt
menil-aux-bois,14,Ménil-aux-Bois
menil-la-horgne,15,Ménil-la-Horgne
menil-sur-saulx,15,Ménil-sur-Saulx
merles-sur-loison,17,Merles-sur-Loison
milly-sur-bradon,16,Milly-sur-Bradon
mogeville,9,Mogeville
mogneville,10,Mognéville
moirey-flabas-crepion,21,Moirey-Flabas-Crépion
mont-devant-sassey,18,Mont-devant-Sassey
montblainville,14,Montblainville
montbras,8,Montbras
montfaucon-d-argonne,20,Montfaucon-d'Argonne
montiers-sur-saulx,18,Montiers-sur-Saulx
montigny-devant-sassey,22,Montigny-devant-Sassey
montigny-les-vaucouleurs,24,Montigny-lès-Vaucouleurs
montmedy,8,Montmédy
montplonne,10,Montplonne
montsec,7,Montsec
montzeville,11,Montzéville
moranville,10,Moranville
morgemoulin,11,Morgemoulin
morley,6,Morley
mouilly,7,Mouilly
moulainville,12,Moulainville
moulins-saint-hubert,20,Moulins-Saint-Hubert
moulotte,8,Moulotte
mouzay,6,Mouzay
murvaux,7,Murvaux
muzeray,7,Muzeray
naives-en-blois,15,Naives-en-Blois
naives-rosieres,15,Naives-Rosières
naix-aux-forges,15,Naix-aux-Forges
nancois-le-grand,16,Nançois-le-Grand
nancois-sur-ornain,18,Nançois-sur-Ornain
nant-le-grand,13,Nant-le-Grand
nant-le-petit,13,Nant-le-Petit
nantillois,10,Nantillois
nantois,7,Nantois
nepvant,7,Nepvant
nettancourt,11,Nettancourt
neuville-en-verdunois,21,Neuville-en-Verdunois
neuville-les-vaucouleurs,24,Neuville-lès-Vaucouleurs
neuville-sur-ornain,19,Neuville-sur-Ornain
neuvilly-en-argonne,19,Neuvilly-en-Argonne
nicey-sur-aire,14,Nicey-sur-Aire
nixeville-blercourt,19,Nixéville-Blercourt
nonsard-lamarche,16,Nonsard-Lamarche
nouillonpont,12,Nouillonpont
noyers-auzecourt,16,Noyers-Auzécourt
nubecourt,9,Nubécourt
olizy-sur-chiers,16,Olizy-sur-Chiers
osches,6,Osches
ourches-sur-meuse,17,Ourches-sur-Meuse
pagny-la-blanche-cote,21,Pagny-la-Blanche-Côte
pagny-sur-meuse,15,Pagny-sur-Meuse
pareid,6,Pareid
parfondrupt,11,Parfondrupt
peuvillers,10,Peuvillers
pierrefitte-sur-aire,20,Pierrefitte-sur-Aire
pillon,6,Pillon
pintheville,11,Pintheville
pont-sur-meuse,14,Pont-sur-Meuse
pouilly-sur-meuse,17,Pouilly-sur-Meuse
pretz-en-argonne,16,Pretz-en-Argonne
quincy-landzecourt,18,Quincy-Landzécourt
raival,6,Raival
rambluzin-et-benoite-vaux,25,Rambluzin-et-Benoite-Vaux
rambucourt,10,Rambucourt
rancourt-sur-ornain,19,Rancourt-sur-Ornain
ranzieres,9,Ranzières
rarecourt,9,Rarécourt
recicourt,9,Récicourt
recourt-le-creux,16,Récourt-le-Creux
reffroy,7,Reffroy
regneville-sur-meuse,20,Regnéville-sur-Meuse
rembercourt-sommaisne,21,Rembercourt-Sommaisne
remennecourt,12,Remennecourt
remoiville,10,Remoiville
resson,6,Resson
revigny-sur-ornain,18,Revigny-sur-Ornain
reville-aux-bois,16,Réville-aux-Bois
riaville,8,Riaville
ribeaucourt,11,Ribeaucourt
richecourt,10,Richecourt
rigny-la-salle,14,Rigny-la-Salle
rigny-saint-martin,18,Rigny-Saint-Martin
robert-espagne,14,Robert-Espagne
romagne-sous-les-cotes,22,Romagne-sous-les-Côtes
romagne-sous-montfaucon,23,Romagne-sous-Montfaucon
ronvaux,7,Ronvaux
rouvres-en-woevre,17,Rouvres-en-Woëvre
rouvrois-sur-meuse,18,Rouvrois-sur-Meuse
rouvrois-sur-othain,19,Rouvrois-sur-Othain
rumont,6,Rumont
rupt-aux-nonains,16,Rupt-aux-Nonains
rupt-devant-saint-mihiel,24,Rupt-devant-Saint-Mihiel
rupt-en-woevre,14,Rupt-en-Woëvre
rupt-sur-othain,15,Rupt-sur-Othain
saint-amand-sur-ornain,22,Saint-Amand-sur-Ornain
saint-andre-en-barrois,22,Saint-André-en-Barrois
saint-aubin-sur-aire,20,Saint-Aubin-sur-Aire
saint-germain-sur-meuse,23,Saint-Germain-sur-Meuse
saint-hilaire-en-woevre,23,Saint-Hilaire-en-Woëvre
saint-jean-les-buzy,19,Saint-Jean-lès-Buzy
saint-joire,11,Saint-Joire
saint-julien-sous-les-cotes,27,Saint-Julien-sous-les-Côtes
saint-laurent-sur-othain,24,Saint-Laurent-sur-Othain
saint-maurice-sous-les-cotes,28,Saint-Maurice-sous-les-Côtes
saint-mihiel,12,Saint-Mihiel
saint-pierrevillers,19,Saint-Pierrevillers
saint-remy-la-calonne,21,Saint-Remy-la-Calonne
salmagne,8,Salmagne
samogneux,9,Samogneux
sampigny,8,Sampigny
sassey-sur-meuse,16,Sassey-sur-Meuse
saudrupt,8,Saudrupt
saulmory-et-villefranche,24,Saulmory-et-Villefranche
saulvaux,8,Saulvaux
saulx-les-champlon,18,Saulx-lès-Champlon
sauvigny,8,Sauvigny
sauvoy,6,Sauvoy
savonnieres-devant-bar,22,Savonnières-devant-Bar
savonnieres-en-perthois,23,Savonnières-en-Perthois
seigneulles,11,Seigneulles
senon,5,Senon
senoncourt-les-maujouy,22,Senoncourt-les-Maujouy
septsarges,10,Septsarges
sepvigny,8,Sepvigny
seuil-d-argonne,15,Seuil-d'Argonne
seuzey,6,Seuzey
silmont,7,Silmont
sivry-la-perche,15,Sivry-la-Perche
sivry-sur-meuse,15,Sivry-sur-Meuse
sommedieue,10,Sommedieue
sommeilles,10,Sommeilles
sommelonne,10,Sommelonne
sorbey,6,Sorbey
sorcy-saint-martin,18,Sorcy-Saint-Martin
souilly,7,Souilly
spincourt,9,Spincourt
stainville,10,Stainville
stenay,6,Stenay
taillancourt,12,Taillancourt
tannois,7,Tannois
thierville-sur-meuse,20,Thierville-sur-Meuse
thillombois,11,Thillombois
thillot,7,Thillot
thonne-la-long,14,Thonne-la-Long
thonne-le-thil,14,Thonne-le-Thil
thonne-les-pres,15,Thonne-les-Près
thonnelle,9,Thonnelle
tilly-sur-meuse,15,Tilly-sur-Meuse
tremont-sur-saulx,17,Trémont-sur-Saulx
tresauvaux,10,Trésauvaux
treveray,8,Tréveray
tronville-en-barrois,20,Tronville-en-Barrois
troussey,8,Troussey
troyon,6,Troyon
ugny-sur-meuse,14,Ugny-sur-Meuse
vacherauville,13,Vacherauville
vadelaincourt,13,Vadelaincourt
vadonville,10,Vadonville
val-d-ornain,12,Val-d'Ornain
valbois,7,Valbois
varennes-en-argonne,19,Varennes-en-Argonne
varneville,10,Varnéville
vassincourt,11,Vassincourt
vaubecourt,10,Vaubecourt
vaucouleurs,11,Vaucouleurs
vaudeville-le-haut,18,Vaudeville-le-Haut
vaudoncourt,11,Vaudoncourt
vauquois,8,Vauquois
vaux-devant-damloup,19,Vaux-devant-Damloup
vaux-les-palameix,17,Vaux-lès-Palameix
vavincourt,10,Vavincourt
velaines,8,Velaines
velosnes,8,Velosnes
verdun,6,Verdun
verneuil-grand,14,Verneuil-Grand
verneuil-petit,14,Verneuil-Petit
very,4,Véry
vigneul-sous-montmedy,21,Vigneul-sous-Montmédy
vigneulles-les-hattonchatel,27,Vigneulles-lès-Hattonchâtel
vignot,6,Vignot
ville-devant-belrain,20,Ville-devant-Belrain
ville-devant-chaumont,21,Ville-devant-Chaumont
ville-en-woevre,15,Ville-en-Woëvre
ville-sur-cousances,19,Ville-sur-Cousances
ville-sur-saulx,15,Ville-sur-Saulx
villecloye,10,Villécloye
villeroy-sur-meholle,20,Villeroy-sur-Méholle
villers-aux-vents,17,Villers-aux-Vents
villers-devant-dun,18,Villers-devant-Dun
villers-le-sec,14,Villers-le-Sec
villers-les-mangiennes,22,Villers-lès-Mangiennes
villers-sous-pareid,19,Villers-sous-Pareid
villers-sur-meuse,17,Villers-sur-Meuse
villotte-devant-louppy,22,Villotte-devant-Louppy
villotte-sur-aire,17,Villotte-sur-Aire
vilosnes-haraumont,18,Vilosnes-Haraumont
vittarville,11,Vittarville
void-vacon,10,Void-Vacon
vouthon-bas,11,Vouthon-Bas
vouthon-haut,12,Vouthon-Haut
waly,4,Waly
warcq,5,Warcq
watronville,11,Watronville
wavrille,8,Wavrille
willeroncourt,13,Willeroncourt
wiseppe,7,Wiseppe
woel,4,Woël
woimbey,7,Woimbey
xivray-et-marvoisin,19,Xivray-et-Marvoisin
allaire,7,Allaire
ambon,5,Ambon
arradon,7,Arradon
arzal,5,Arzal
arzon,5,Arzon
augan,5,Augan
auray,5,Auray
baden,5,Baden
bangor,6,Bangor
baud,4,Baud
beganne,7,Béganne
beignon,7,Beignon
belz,4,Belz
berne,5,Berné
berric,6,Berric
bieuzy,6,Bieuzy
bignan,6,Bignan
billiers,8,Billiers
billio,6,Billio
bohal,5,Bohal
branderion,10,Brandérion
brandivy,8,Brandivy
brech,5,Brech
brehan,6,Bréhan
brignac,7,Brignac
bubry,5,Bubry
buleon,6,Buléon
caden,5,Caden
calan,5,Calan
camoel,6,Camoël
camors,6,Camors
campeneac,9,Campénéac
carentoir,9,Carentoir
carnac,6,Carnac
caro,4,Caro
caudan,6,Caudan
cleguer,7,Cléguer
cleguerec,9,Cléguérec
colpo,5,Colpo
concoret,8,Concoret
cournon,7,Cournon
crach,5,Crach
credin,6,Crédin
croixanvec,10,Croixanvec
cruguel,7,Cruguel
damgan,6,Damgan
elven,5,Elven
erdeven,7,Erdeven
etel,4,Etel
evriguet,8,Evriguet
ferel,5,Férel
gavres,6,Gâvres
gestel,6,Gestel
glenac,6,Glénac
gourhel,7,Gourhel
gourin,6,Gourin
grand-champ,11,Grand-Champ
groix,5,Groix
guegon,6,Guégon
guehenno,8,Guéhenno
gueltas,7,Gueltas
guemene-sur-scorff,18,Guémené-sur-Scorff
guenin,6,Guénin
guer,4,Guer
guern,5,Guern
guidel,6,Guidel
guillac,7,Guillac
guilliers,9,Guilliers
guiscriff,9,Guiscriff
hellean,7,Helléan
hennebont,9,Hennebont
hoedic,6,Hoedic
ile-aux-moines,14,Ile-aux-Moines
ile-d-arz,9,Ile-d'Arz
ile-d-houat,11,Ile-d'Houat
inguiniel,9,Inguiniel
inzinzac-lochrist,17,Inzinzac-Lochrist
josselin,8,Josselin
kerfourn,8,Kerfourn
kergrist,8,Kergrist
kernascleden,12,Kernascléden
kervignac,9,Kervignac
la-chapelle-caro,16,"La Chapelle-Caro"
la-chapelle-gaceline,20,"La Chapelle-Gaceline"
la-chapelle-neuve,17,"La Chapelle-Neuve"
la-croix-hellean,16,"La Croix-Helléan"
la-gacilly,10,"La Gacilly"
la-gree-saint-laurent,21,"La Grée-Saint-Laurent"
la-roche-bernard,16,"La Roche-Bernard"
la-trinite-porhoet,18,"La Trinité-Porhoët"
la-trinite-sur-mer,18,"La Trinité-sur-Mer"
la-trinite-surzur,17,"La Trinité-Surzur"
la-vraie-croix,14,"La Vraie-Croix"
landaul,7,Landaul
landevant,9,Landévant
lanester,8,Lanester
langoelan,9,Langoëlan
langonnet,9,Langonnet
languidic,9,Languidic
lanouee,7,Lanouée
lantillac,9,Lantillac
lanvaudan,9,Lanvaudan
lanvenegen,10,Lanvénégen
larmor-baden,12,Larmor-Baden
larmor-plage,12,Larmor-Plage
larre,5,Larré
lauzach,7,Lauzach
bono,4,Bono
le-cours,8,"Le Cours"
le-croisty,10,"Le Croisty"
le-faouet,9,"Le Faouët"
le-guerno,9,"Le Guerno"
le-hezo,7,"Le Hézo"
le-palais,9,"Le Palais"
le-roc-saint-andre,18,"Le Roc-Saint-André"
le-saint,8,"Le Saint"
le-sourn,8,"Le Sourn"
le-tour-du-parc,15,"Le Tour-du-Parc"
les-forges,10,"Les Forges"
les-fougerets,13,"Les Fougerêts"
lignol,6,Lignol
limerzel,8,Limerzel
lizio,5,Lizio
locmalo,7,Locmalo
locmaria,8,Locmaria
locmaria-grand-champ,20,Locmaria-Grand-Champ
locmariaquer,12,Locmariaquer
locmine,7,Locminé
locmiquelic,11,Locmiquélic
locoal-mendon,13,Locoal-Mendon
locqueltas,10,Locqueltas
lorient,7,Lorient
loyat,5,Loyat
malansac,8,Malansac
malestroit,10,Malestroit
malguenac,9,Malguénac
marzan,6,Marzan
mauron,6,Mauron
melrand,7,Melrand
meneac,6,Ménéac
merlevenez,10,Merlevenez
meslan,6,Meslan
meucon,6,Meucon
missiriac,9,Missiriac
mohon,5,Mohon
molac,5,Molac
monteneuf,9,Monteneuf
monterblanc,11,Monterblanc
monterrein,10,Monterrein
montertelot,11,Montertelot
moreac,6,Moréac
moustoir-ac,11,Moustoir-Ac
moustoir-remungol,17,Moustoir-Remungol
muzillac,8,Muzillac
naizin,6,Naizin
neant-sur-yvel,14,Néant-sur-Yvel
neulliac,8,Neulliac
nivillac,8,Nivillac
nostang,7,Nostang
noyal-muzillac,14,Noyal-Muzillac
noyal-pontivy,13,Noyal-Pontivy
noyalo,6,Noyalo
peaule,6,Péaule
peillac,7,Peillac
penestin,8,Pénestin
persquen,8,Persquen
plaudren,8,Plaudren
plescop,7,Plescop
pleucadeuc,10,Pleucadeuc
pleugriffet,11,Pleugriffet
ploemel,7,Ploemel
ploemeur,8,Ploemeur
ploerdut,8,Ploërdut
ploeren,7,Ploeren
ploermel,8,Ploërmel
plouay,6,Plouay
plougoumelen,12,Plougoumelen
plouharnel,10,Plouharnel
plouhinec,9,Plouhinec
plouray,7,Plouray
pluherlin,9,Pluherlin
plumelec,8,Plumelec
plumeliau,9,Pluméliau
plumelin,8,Plumelin
plumergat,9,Plumergat
pluneret,8,Pluneret
pluvigner,9,Pluvigner
pont-scorff,11,Pont-Scorff
pontivy,7,Pontivy
porcaro,7,Porcaro
port-louis,10,Port-Louis
priziac,7,Priziac
quelneuc,8,Quelneuc
questembert,11,Questembert
queven,6,Quéven
quiberon,8,Quiberon
quily,5,Quily
quistinic,9,Quistinic
radenac,7,Radenac
reguiny,7,Réguiny
reminiac,8,Réminiac
remungol,8,Remungol
riantec,7,Riantec
rieux,5,Rieux
rochefort-en-terre,18,Rochefort-en-Terre
rohan,5,Rohan
roudouallec,11,Roudouallec
ruffiac,7,Ruffiac
saint-abraham,13,Saint-Abraham
saint-aignan,12,Saint-Aignan
saint-allouestre,16,Saint-Allouestre
saint-armel,11,Saint-Armel
saint-ave,9,Saint-Avé
saint-barthelemy,16,Saint-Barthélemy
saint-brieuc-de-mauron,22,Saint-Brieuc-de-Mauron
saint-caradec-tregomel,22,Saint-Caradec-Trégomel
saint-congard,13,Saint-Congard
saint-dolay,11,Saint-Dolay
saint-gerand,12,Saint-Gérand
saint-gildas-de-rhuys,21,Saint-Gildas-de-Rhuys
saint-gonnery,13,Saint-Gonnery
saint-gorgon,12,Saint-Gorgon
saint-grave,11,Saint-Gravé
saint-guyomard,14,Saint-Guyomard
saint-jacut-les-pins,20,Saint-Jacut-les-Pins
saint-jean-brevelay,19,Saint-Jean-Brévelay
saint-jean-la-poterie,21,Saint-Jean-la-Poterie
saint-laurent-sur-oust,22,Saint-Laurent-sur-Oust
saint-lery,10,Saint-Léry
saint-malo-de-beignon,21,Saint-Malo-de-Beignon
saint-malo-des-trois-fontaines,30,Saint-Malo-des-Trois-Fontaines
saint-marcel,12,Saint-Marcel
saint-martin-sur-oust,21,Saint-Martin-sur-Oust
saint-nicolas-du-tertre,23,Saint-Nicolas-du-Tertre
saint-nolff,11,Saint-Nolff
saint-perreux,13,Saint-Perreux
saint-philibert,15,Saint-Philibert
saint-pierre-quiberon,21,Saint-Pierre-Quiberon
