rewrite,nbre_car
saint-martin-du-frene,21,Saint-Martin-du-Frêne
saint-martin-du-mont,20,Saint-Martin-du-Mont
saint-martin-le-chatel,22,Saint-Martin-le-Châtel
saint-maurice-de-beynost,24,Saint-Maurice-de-Beynost
saint-maurice-de-gourdans,25,Saint-Maurice-de-Gourdans
saint-maurice-de-remens,23,Saint-Maurice-de-Rémens
saint-nizier-le-bouchoux,24,Saint-Nizier-le-Bouchoux
saint-nizier-le-desert,22,Saint-Nizier-le-Désert
saint-paul-de-varax,19,Saint-Paul-de-Varax
saint-rambert-en-bugey,22,Saint-Rambert-en-Bugey
saint-remy,10,Saint-Rémy
saint-sorlin-en-bugey,21,Saint-Sorlin-en-Bugey
saint-sulpice,13,Saint-Sulpice
saint-trivier-de-courtes,24,Saint-Trivier-de-Courtes
saint-trivier-sur-moignans,26,Saint-Trivier-sur-Moignans
saint-vulbas,12,Saint-Vulbas
sainte-croix,12,Sainte-Croix
sainte-euphemie,15,Sainte-Euphémie
sainte-julie,12,Sainte-Julie
sainte-olive,12,Sainte-Olive
salavre,7,Salavre
samognat,8,Samognat
sandrans,8,Sandrans
sault-brenaz,12,Sault-Brénaz
sauverny,8,Sauverny
savigneux,9,Savigneux
segny,5,Ségny
seillonnaz,10,Seillonnaz
sergy,5,Sergy
sermoyer,8,Sermoyer
serrieres-de-briord,19,Serrières-de-Briord
serrieres-sur-ain,17,Serrières-sur-Ain
servas,6,Servas
servignat,9,Servignat
seyssel,7,Seyssel
simandre-sur-suran,18,Simandre-sur-Suran
songieu,7,Songieu
sonthonnax-la-montagne,22,Sonthonnax-la-Montagne
souclin,7,Souclin
sulignat,8,Sulignat
surjoux,7,Surjoux
sutrieu,7,Sutrieu
talissieu,9,Talissieu
tenay,5,Tenay
thezillieu,10,Thézillieu
thil,4,Thil
thoiry,6,Thoiry
thoissey,8,Thoissey
torcieu,7,Torcieu
tossiat,7,Tossiat
toussieux,9,Toussieux
tramoyes,8,Tramoyes
treffort-cuisiat,16,Treffort-Cuisiat
trevoux,7,Trévoux
valeins,7,Valeins
vandeins,8,Vandeins
varambon,8,Varambon
vaux-en-bugey,13,Vaux-en-Bugey
verjon,6,Verjon
vernoux,7,Vernoux
versailleux,11,Versailleux
versonnex,9,Versonnex
vesancy,7,Vesancy
vescours,8,Vescours
vesines,7,Vésines
vieu,4,Vieu
vieu-d-izenave,14,Vieu-d'Izenave
villars-les-dombes,18,Villars-les-Dombes
villebois,9,Villebois
villemotier,11,Villemotier
villeneuve,10,Villeneuve
villereversure,14,Villereversure
villes,6,Villes
villette-sur-ain,16,Villette-sur-Ain
villieu-loyes-mollon,20,Villieu-Loyes-Mollon
viriat,6,Viriat
virieu-le-grand,15,Virieu-le-Grand
virieu-le-petit,15,Virieu-le-Petit
virignin,8,Virignin
vongnes,7,Vongnes
vonnas,6,Vonnas
abbecourt,9,Abbécourt
achery,6,Achery
acy,3,Acy
agnicourt-et-sechelles,22,Agnicourt-et-Séchelles
aguilcourt,10,Aguilcourt
aisonville-et-bernoville,24,Aisonville-et-Bernoville
aizelles,8,Aizelles
aizy-jouy,9,Aizy-Jouy
alaincourt,10,Alaincourt
allemant,8,Allemant
ambleny,7,Ambleny
ambrief,7,Ambrief
amifontaine,11,Amifontaine
amigny-rouy,11,Amigny-Rouy
ancienville,11,Ancienville
andelain,8,Andelain
anguilcourt-le-sart,19,Anguilcourt-le-Sart
anizy-le-chateau,16,Anizy-le-Château
annois,6,Annois
any-martin-rieux,16,Any-Martin-Rieux
archon,6,Archon
arcy-sainte-restitue,20,Arcy-Sainte-Restitue
armentieres-sur-ourcq,21,Armentières-sur-Ourcq
arrancy,7,Arrancy
artemps,7,Artemps
artonges,8,Artonges
