rewrite,nbre_car
la-vallee-au-ble,16
la-vallee-mulatre,17
la-ville-aux-bois-les-dizy,26
la-ville-aux-bois-les-pontavert,31
laffaux,7
laigny,6
lanchy,6
landifay-et-bertaignemont,25
landouzy-la-cour,16
landouzy-la-ville,17
landricourt,11
laniscourt,10
laon,4
lappion,7
largny-sur-automne,18
latilly,7
launoy,6
laval-en-laonnois,17
lavaqueresse,12
laversine,9
le-catelet,10
le-charmel,10
lehaucourt,10
le-herie-la-vieville,20
le-nouvion-en-thierache,23
le-plessier-huleu,17
le-sourd,8
le-thuel,8
le-verguier,11
leme,4
lempire,7
lerzy,5
les-autels,10
leschelle,9
lesdins,7
lesges,6
lesquielles-saint-germain,25
leuilly-sous-coucy,18
leury,5
leuze,5
levergies,9
lhuys,5
licy-clignon,12
lierval,7
liesse-notre-dame,17
liez,4
lime,4
lislet,6
lizy,4
logny-les-aubenton,18
longpont,8
longueval-barbonval,19
lor,3
louatre,7
loupeigne,9
lucy-le-bocage,14
lugny,5
luzoir,6
ly-fontaine,11
maast-et-violaine,17
machecourt,10
macogny,7
macquigny,9
magny-la-fosse,14
maissemy,8
maizy,5
malzy,5
manicamp,8
marchais,8
marchais-en-brie,16
marcy,5
marcy-sous-marle,16
marest-dampcourt,16
mareuil-en-dole,15
marfontaine,11
margival,8
marigny-en-orxois,17
marizy-saint-mard,17
marizy-sainte-genevieve,23
marle,5
marly-gomont,12
martigny,8
martigny-courpierre,19
mauregny-en-haye,16
mayot,5
mennessis,9
menneville,10
mennevret,9
mercin-et-vaux,14
merlieux-et-fouquerolles,24
merval,6
mesbrecourt-richecourt,22
mesnil-saint-laurent,20
meurival,8
mezieres-sur-oise,17
mezy-moulins,12
missy-aux-bois,14
missy-les-pierrepont,20
missy-sur-aisne,15
molain,6
molinchart,10
monampteuil,11
monceau-le-neuf-et-faucouzy,27
monceau-le-waast,16
monceau-les-leups,17
monceau-sur-oise,16
mondrepuis,10
monnes,6
mons-en-laonnois,16
mont-d-origny,13
mont-notre-dame,15
mont-saint-jean,15
mont-saint-martin,17
mont-saint-pere,15
montaigu,8
montbavin,9
montbrehain,11
montchalons,11
montcornet,10
montescourt-lizerolles,22
montfaucon,10
montgobert,10
montgru-saint-hilaire,21
monthenault,11
monthiers,9
monthurel,9
montigny-en-arrouaise,21
montigny-l-allier,17
montigny-le-franc,17
montigny-lengrain,17
montigny-les-conde,18
montigny-sous-marle,19
montigny-sur-crecy,18
montlevon,9
montloue,8
montreuil-aux-lions,19
morcourt,8
morgny-en-thierache,19
morsain,7
mortefontaine,13
mortiers,8
moulins,7
moussy-verneuil,15
moy-de-l-aisne,14
muret-et-crouttes,17
muscourt,8
nampcelles-la-cour,18
nampteuil-sous-muret,20
nanteuil-la-fosse,17
nanteuil-notre-dame,19
nauroy,6
nesles-la-montagne,18
neufchatel-sur-aisne,20
neuflieux,9
neuilly-saint-front,19
neuve-maison,12
neuville-saint-amand,20
neuville-sur-ailette,20
