rewrite,gentile_f_ville,nbre_car
carquefolienne,Carquefolienne,14
cassonnaise,Cassonnaise,11
castelthebaldaise,Castelthébaldaise,17
castelbriantaise,Castelbriantaise,16
chauveenne,Chauvéenne,10
cheixoise,Cheixoise,9
chemereenne,Chéméréenne,11
clissonnaise,Clissonnaise,12
conquereuillaise,Conquereuillaise,16
corcoueenne,Corcouéenne,11
cordemaisienne,Cordemaisienne,14
corseptine,Corseptine,10
coueronnaise,Coueronnaise,12
couffeenne,Coufféenne,10
crossacaise,Crossacaise,11
dervalaise,Dervalaise,10
dongeoise,Dongeoise,9
dreffeenne,Drefféenne,10
erbreenne,Erbréenne,9
fayenne,Fayenne,7
fegreacaise,Fégréacaise,11
ferceenne,Fercéenne,9
fresnaysienne,Fresnaysienne,13
frossetaine,Frossetaine,11
genestonnaise,Genestonnaise,13
getignoise,Gétignoise,10
gorgeoise,Gorgeoise,9
alverne,Alverne,7
grandchampenoise,Grandchampenoise,16
guemeneenne,Guémenéenne,11
guerinoise,Guérinoise,10
guerandaise,Guérandaise,11
goulainaise,Goulainaise,11
herbignacaise,Herbignacaise,13
hericoise,Héricoise,9
indraise,Indraise,8
isseenne,Isséenne,8
janseenne,Janséenne,9
joveenne,Jovéenne,8
juigneenne,Juignéenne,10
bauloise,Bauloise,8
bernerienne,Bernerienne,11
boissierienne,Boissiérienne,13
chapelaine,Chapelaine,10
marais-chapelaine,"Marais Chapelaine",17
glainoise,Glainoise,9
heulinoise,Heulinoise,10
capellaunesienne,Capellaunésienne,16
capellosalvienne,Capellosalvienne,16
chapelaine,Chapelaine,10
chevalleraisienne,Chevalleraisienne,17
chevrollienne,Chevrollienne,13
grigonnaisienne,Grigonnaisienne,15
hayonnaise,Hayonnaise,10
limouzine,Limouzine,9
marnaise,Marnaise,8
meillereenne,Meilleréenne,12
montagnarde,Montagnarde,11
plainaise,Plainaise,9
planchotte,Planchotte,10
regrippieroise,Regrippiéroise,14
remaudieroise,Remaudièroise,13
roche-blanchaise,Roche-Blanchaise,16
rouxieroise,Rouxiéroise,11
turballaise,Turballaise,11
lavausienne,Lavausienne,11
bignonnaise,Bignonnaise,11
cellarienne,Cellarienne,11
croisicaise,Croisicaise,11
fresnoise,Fresnoise,9
gavraise,Gâvraise,8
landreenne,Landréenne,10
lorousaine,Lorousaine,10
palletaise,Palletaise,10
pellerinaise,Pellerinaise,12
pinoise,Pinoise,7
pouliguennaise,Pouliguennaise,14
templiere,Templière,9
legeenne,Legéenne,8
monasterienne,Monastérienne,13
sorinieroise,Soriniéroise,12
touchoise,Touchoise,9
ligneenne,Lignéenne,9
locferienne,Locférienne,11
lusanceenne,Lusancéenne,11
machecoulaise,Machecoulaise,13
maisdonnaise,Maisdonnaise,12
malvilloise,Malvilloise,11
marsacaise,Marsacaise,10
masseraceenne,Masséracéenne,13
maumussonnaise,Maumussonnaise,14
malvienne,Malvienne,9
mesangeenne,Mesangéenne,11
mesqueraise,Mesqueraise,11
missillacaise,Missillacaise,13
moisdonnaise,Moisdonnaise,12
monnieroise,Monniéroise,11
montbertaine,Montbertaine,12
montoirine,Montoirine,10
montrelaisienne,Montrelaisienne,15
mouaisienne,Mouaisienne,11
mouzeillaise,Mouzeillaise,12
mouzillonnaise,Mouzillonnaise,14
nantaise,Nantaise,8
nortaise,Nortaise,8
landaise,Landaise,8
noyalaise,Noyalaise,9
nozeenne,Nozéenne,8
orvaltaise,Orvaltaise,10
oudonnaise,Oudonnaise,10
paimblotine,Paimblotine,11
panneceenne,Pannecéenne,11
paluceenne,Palucéenne,10
alverne,Alverne,7
marsienne,Marsienne,9
pierricaise,Pierricaise,11
piriacaise,Piriacaise,10
plesseenne,Plesséenne,10
martipontaine,Martipontaine,13
pontchatelaine,Pontchâtelaine,14
pornicaise,Pornicaise,10
pornichetine,Pornichétine,12
port-saint-perine,Port-Saint-Périne,17
cotelloise,Cotelloise,10
prefaillaise,Préfaillaise,12
prinquelaise,Prinquelaise,12
puceuloise,Puceuloise,10
quilleronne,Quilleronne,11
remouilleenne,Remouilléenne,13
rezeenne,Rezéenne,8
riailleenne,Riailléenne,11
rouansaise,Rouansaise,10
rougeenne,Rougéenne,9
ruffignolaise,Ruffignolaise,13
saffreenne,Saffréenne,10
aignanaise,Aignanaise,10
andreanaise,Andréanaise,11
aubinoise,Aubinoise,9
brevinoise,Brévinoise,10
colombanaise,Colombanaise,12
stephanoise,Stéphanoise,11
stephanoise,Stéphanoise,11
saint-fiacraise,Saint-Fiacraise,15
saint-gereonaise,Saint-Géréonaise,16
gildasienne,Gildasienne,11
herblinoise,Herblinoise,11
saint-herblonnaise,Saint-Herblonnaise,18
chaleonnaise,Chaléonnaise,12
hilairoise,Hilairoise,10
boiseenne,Boiséenne,9
brieronne,Briéronne,9
concelloise,Concelloise,11
vouvantaise,Vouvantaise,11
legerienne,Légérienne,10
luminaise,Luminaise,9
luminoise,Luminoise,9
lyphardaise,Lyphardaise,11
malouine,Malouine,8
saint-marine,Saint-Marine,12
marsienne,Marsienne,9
saint-marsienne,Saint-Marsienne,15
tenumemoise,Ténumémoise,11
micheloise,Micheloise,10
mendolphine,Mendolphine,11
nazairienne,Nazairienne,11
nicolasienne,Nicolasienne,12
perezienne,Pérézienne,10
saint-philibertaine,Saint-Philibertaine,19
sebastiennaise,Sébastiennaise,14
sulpicienne,Sulpicienne,11
vitalienne,Vitalienne,10
vincentaise,Vincentaise,11
brivetaine,Brivetaine,10
luceenne,Lucéenne,8
pazennaise,Pazennaise,10
reinoise,Reinoise,8
sautronnaise,Sautronnaise,12
savenaisienne,Savenaisienne,13
severacaise,Sévéracaise,11
sionnaise,Sionnaise,9
soudanaise,Soudanaise,10
soulvachaise,Soulvachaise,12
suceenne,Sucéenne,8
teilleenne,Teilléenne,10
thoureenne,Thouréenne,10
touvoisienne,Touvoisienne,12
transeenne,Transéenne,10
treffiolaise,Treffiolaise,12
treillieraine,Treilliéraine,13
trignacaise,Trignacaise,11
valletaise,Valletaise,10
varadaise,Varadaise,9
vayenne,Vayenne,7
vertavienne,Vertavienne,11
vieillevignoise,Vieillevignoise,15
vignolaise,Vignolaise,10
villepotaise,Villepotaise,12
vritzienne,Vritzienne,10
vezienne,Vézienne,8
adonnaise,Adonnaise,9
aillantaise,Aillantaise,11
amilloise,Amilloise,9
andonvilloise,Andonvilloise,13
ardonnaise,Ardonnaise,10
artenaysienne,Artenaysienne,13
ascheroise,Aschéroise,10
ansculfussienne,Ansculfussienne,15
attrayenne,Attrayenne,10
audevilloise,Audevilloise,12
augervilloise,Augervilloise,13
alnetaise,Alnétaise,9
altracienne,Altracienne,11
castelautryenne,Castelautryenne,15
auvilloise,Auvilloise,10
auxyoise,Auxyoise,8
bacconnaise,Bacconnaise,11
barvilloise,Barvilloise,11
batilloise,Batilloise,10
batilloise,Batilloise,10
bauloise,Bauloise,8
bazochonne,Bazochonne,10
bazochoise,Bazochoise,10
beauchampoise,Beauchampoise,13
balgencienne,Balgencienne,12
belloceenne,Bellocéenne,11
beaunoise,Beaunoise,9
bellegardoise,Bellegardoise,13
boessoise,Boëssoise,9
boignacienne,Boignacienne,12
boiscommunoise,Boiscommunoise,14
boscomorandaise,boscomorandaise,15
boisselienne,Boisselienne,12
bondaraise,Bondaraise,10
bonneenne,Bonnéenne,9
bonnychonne,Bonnychonne,11
roucoise,Roucoise,8
boumienne,Boumienne,9
belgiacoboise,Belgiacoboise,13
bouillerine,Bouillerine,11
boulaysienne,Boulaysienne,12
bouzonvilloise,Bouzonvilloise,14
bulzacienne,Bulzacienne,11
boynotte,Boynotte,8
abraysienne,Abraysienne,11
bretaulucienne,Brétaulucienne,14
briaroise,Briaroise,9
briarroise,Briarroise,10
bricyoise,Bricyoise,9
bromeilloise,Bromeilloise,12
bucyoise,Bucyoise,8
buceenne,Bucéenne,8
cepoyenne,Cepoyenne,9
cercottoise,Cercottoise,11
cerdonnaise,Cerdonnaise,11
cernoyenne,Cernoyenne,10
calliacienne,Calliacienne,12
cambienne,Cambienne,9
chalettoise,Chalettoise,11
chambonnaise,Chambonnaise,12
champouloise,Champouloise,12
chanteausienne,Chanteausienne,14
chantecoquoise,Chantecoquoise,14
chapelonaise,Chapelonaise,12
charmontoise,Charmontoise,12
charsonvilloise,Charsonvilloise,15
chateaurenardaise,Châteaurenardaise,17
castelneuvienne,Castelneuvienne,15
castaneenne,Castanéenne,11
chatillonnaise,Chatillonnaise,14
chatillonnaise,Châtillonnaise,14
chatillonnaise,Châtillonnaise,14
calcedonienne,Calcédonienne,13
cacienne,Cacienne,8
chevannoise,Chevannoise,11
chevillonnoise,Chevillonnoise,14
chevilloise,Chevilloise,11
chevriotte,Chevriotte,10
chilleuroise,Chilleuroise,12
chuelloise,Chuelloise,10
clericoise,Cléricoise,10
coincoise,Coinçoise,9
combleusienne,Combleusienne,13
combreusienne,Combreusienne,13
conflonaise,Conflonaise,11
corbeilloise,Corbeilloise,12
guilleroise,Guilleroise,11
cortratienne,Cortratienne,12
coudrayaise,Coudrayaise,11
coudroyenne,Coudroyenne,11
coullonnaise,Coullonnaise,12
colmerienne,Colmérienne,11
courcelloise,Courcelloise,12
courceenne,Courcéenne,10
courtemalienne,Courtemalienne,14
courtempierroise,Courtempierroise,16
curtinienne,Curtinienne,11
cravantaise,Cravantaise,11
crottoise,Crottoise,9
dadonvilloise,Dadonvilloise,13
dammarienne,Dammarienne,11
dammarienne,Dammarienne,11
dampierroise,Dampierroise,12
darvoisienne,Darvoisienne,12
desmontoise,Desmontoise,11
dimanchevilloise,Dimanchevilloise,16
donnerysienne,Donnerysienne,13
dordivoise,Dordivoise,10
douchyssoise,Douchyssoise,12
dryssoise,Dryssoise,9
rogante,Rogante,7
egryone,Egryone,7
engenvilloise,Engenvilloise,13
spicacienne,Spicacienne,11
ercevilloise,Ercevilloise,12
ervauvilloise,Ervauvilloise,13
escrennoise,Escrennoise,11
escrignelloise,Escrignelloise,14
estovienne,Estovienne,10
faverelloise,Faverelloise,12
faycienne,Faycienne,9
finoise,Finoise,7
ferolliote,Férolliote,10
ferrieroise,Ferriéroise,11
fleuryssoise,Fleuryssoise,12
fontenaysienne,Fontenaysienne,14
foucherollaise,Foucherollaise,14
frevilloise,Frévilloise,11
gaubertinoise,Gaubertinoise,13
gemignoise,Gémignoise,10
germignonne,Germignonne,11
gideenne,Gidéenne,8
giennoise,Giennoise,9
girolloise,Girolloise,10
givrainoise,Givrainoise,11
gondrevilloise,Gondrevilloise,14
grangermontoise,Grangermontoise,15
grenevilloise,Grénevilloise,13
griselloise,Griselloise,11
guignevilloise,Guignevilloise,14
guillyloise,Guillyloise,11
gyssoise,Gyssoise,8
huetraise,Huêtraise,9
uxelloise,Uxelloise,9
ingrannaise,Ingrannaise,11
ingreenne,Ingréenne,9
intvilloise,Intvilloise,11
isdoise,Isdoise,7
gergolienne,Gergolienne,11
jovicienne,Jovicienne,10
jovicienne,Jovicienne,10
juranvilloise,Juranvilloise,13
busseroise,Busséroise,10
chapelloise,Chapelloise,11
chapelloise,Chapelloise,11
capelloise,Capelloise,10
chapelloise,Chapelloise,11
curti-marignacaise,Curti-Marignacaise,18
fertesienne,Fertésienne,11
neuvilloise,Neuvilloise,11
selloise,Selloise,8
selloise,Selloise,8
legatienne,Légatienne,10
labrossienne,Labrossienne,12
ladonnaise,Ladonnaise,10
laillyloise,Laillyloise,11
langessoise,Langessoise,11
bardonniere,Bardonnière,11
bignonaise,Bignonaise,10
charmoise,Charmoise,9
moulinetoise,Moulinetoise,12
leouvilloise,Léouvilloise,12
bordiere,Bordière,8
choezienne,Choézienne,10
lignoise,Lignoise,8
lionnaise,Lionnaise,9
lugdunienne,Lugdunienne,11
lombaire,Lombaire,8
lorceenne,Lorcéenne,9
lorrissoise,Lorrissoise,11
louryenne,Louryenne,9
oratorienne,Oratorienne,11
mainvilloise,Mainvilloise,12
malesherboise,Malesherboise,13
manchecourtoise,Manchecourtoise,15
marcilloise,Marcilloise,11
mardesienne,Mardésienne,11
mareauboisienne,Mareauboisienne,15
marepresienne,Mareprésienne,13
martaraise,Martaraise,10
marsainvilloise,Marsainvilloise,15
melleroysienne,Melleroysienne,14
menestreenne,Menestréenne,12
merinvilloise,Mérinvilloise,13
messassienne,Messassienne,12
magdunoise,Magdunoise,10
macerienne,Macérienne,10
macerienne,Macérienne,10
migneroise,Mignéroise,10
mignerettoise,Mignerettoise,13
montargoise,Montargoise,11
montbarroissienne,Montbarroissienne,17
montbovienne,Montbovienne,12
montcorbonnaise,Montcorbonnaise,15
montcressonnaise,Montcressonnaise,16
monterelaise,Monterelaise,12
montignoise,Montignoise,11
montliardaise,Montliardaise,13
mormantoise,Mormantoise,11
morvilloise,Morvilloise,11
moulonoise,Moulonoise,10
nancreenne,Nancréenne,10
nangevilloise,Nangevilloise,13
nargissienne,Nargissienne,12
nesployoise,Nesployoise,11
neuvilloise,Neuvilloise,11
neuvysullienne,Neuvysullienne,14
noveltaine,Noveltaine,10
nibelloise,Nibelloise,10
nogentaise,Nogentaise,10
nucerienne,Nucérienne,10
oisonaise,Oisonaise,9
olivetaine,Olivetaine,10
grenouillarde,Grenouillarde,13
orleanaise,Orléanaise,10
ormoise,Ormoise,7
orvalloise,Orvalloise,10
orvilloise,Orvilloise,10
oussonnoise,Oussonnoise,11
oussoyenne,Oussoyenne,10
outarvilloise,Outarvilloise,13
oratorienne,Oratorienne,11
oratorienne,Oratorienne,11
oratorienne,Oratorienne,11
oratorienne,Oratorienne,11
oratorienne,Oratorienne,11
pannecieroise,Pannecièroise,13
pannoise,Pannoise,8
patichonne,Patichonne,10
paucourtoise,Paucourtoise,12
persgatinoise,Persgatinoise,13
pierrefittoise,Pierrefittoise,14
pithiverienne,Pithivérienne,13
pithiverienne,Pithivérienne,13
polissonne,Polissonne,10
pratifontaine,Pratifontaine,13
presnoyenne,Presnoyenne,11
pressignienne,Pressignienne,13
puiseautine,Puiseautine,11
quieroise,Quieroise,9
ramoulusienne,Ramoulusienne,13
rebriocastinoise,Rebriocastinoise,16
rouvraisienne,Rouvraisienne,13
roviere,Rovière,7
rozieroise,Roziéroise,10
rozetaine,Rozetaine,9
ruanaise,Ruanaise,8
saint-aignanaise,Saint-Aignanaise,16
agylienne,Agylienne,9
benedictine,Bénédictine,11
saint-brissonnaise,Saint-Brissonnaise,18
saint-cyrienne,Saint-Cyrienne,14
dionysienne,Dionysienne,11
dionysienne,Dionysienne,11
saint-firminoise,Saint-Firminoise,16
saint-firminoise,Saint-Firminoise,16
saint-florentaise,Saint-Florentaise,17
germanopratine,Germanopratine,14
gondulfienne,Gondulfienne,12
andresienne,Andrésienne,11
hilairoise,Hilairoise,10
hilairoise,Hilairoise,10
abraysienne,Abraysienne,11
steoruellane,Stéoruellane,12
albijohanicienne,Albijohanicienne,16
saint-lupoise,Saint-Lupoise,13
luperienne,Lupérienne,10
laetienne,Laëtienne,9
abbatienne,Abbatienne,10
ocrinienne,Ocrinienne,10
saint-mauricienne,Saint-Mauricienne,17
saint-mauricienne,Saint-Mauricienne,17
michelloise,Michelloise,11
saint-peravienne,Saint-Péravienne,16
saint-peroise,Saint-Péroise,13
pryvataine,Pryvataine,10
genovefaine,Génovéfaine,11
sandillonnaise,Sandillonnaise,14
santolienne,Santolienne,11
saranaise,Saranaise,9
sceleenne,Scéléenne,9
seichebrieroise,Seichebriéroise,15
semeyenne,Semeyenne,9
senneliacienne,Senneliacienne,14
sarmate,Sarmate,7
sigloyoise,Sigloyoise,10
solterrienne,Solterrienne,12
sougycoise,Sougycoise,10
sullygeois,Sullygeois,10
sullyloise,Sullyloise,10
suryenne,Suryenne,8
taversoise,Taversoise,10
thignonvilloise,Thignonvilloise,15
thimorienne,Thimorienne,11
thoraillaise,Thoraillaise,12
tigycienne,Tigycienne,10
tivernonaise,Tivernonaise,12
tournoise,Tournoise,9
trianienne,Trianienne,10
treilloise,Treilloise,10
trigueroise,Trigueroise,11
trinayaise,Trinayaise,10
vannoise,Vannoise,8
varennoise,Varennoise,10
venetienne,Vénétienne,10
vetula-domussienne,Vetula-Domussienne,18
viennoise,Viennoise,9
viglainoise,Viglainoise,11
villamblainoise,Villamblainoise,15
mandeuraise,Mandeuraise,11
villamonasterienne,Villamonastérienne,18
villemurlinoise,Villemurlinoise,15
villeneuvoise,Villeneuvoise,13
villeroise,Villeroise,10
villevoquoise,Villevoquoise,13
villorceenne,Villorcéenne,12
vimorienne,Vimorienne,10
vitrylogienne,Vitrylogienne,13
vrignoise,Vrignoise,9
evaroise,Evaroise,8
albasoise,Albasoise,9
albiacoise,Albiacoise,10
alvignacoise,Alvignacoise,12
anglarsoise,Anglarsoise,11
anglacoise,Anglacoise,10
nozacoise,Nozacoise,9
arcambalaise,Arcambalaise,12
assieroise,Assiéroise,10
aujolaise,Aujolaise,9
autoirienne,Autoirienne,11
aynacoise,Aynacoise,9
bachoise,Bachoise,8
bagatoise,Bagatoise,9
bagnacoise,Bagnacoise,10
baladine,Baladine,8
bannoise,Bannoise,8
beaumatoise,Beaumatoise,11
beauregardaise,Beauregardaise,14
beduerienne,Béduérienne,11
belaycoise,Belaycoise,10
belfortoise,Belfortoise,11
belmontoise,Belmontoise,11
belmontoise,Belmontoise,11
bergantynoise,Bergantynoise,13
bessonienne,Bessonienne,11
betaillaise,Bétaillaise,11
biarnaise,Biarnaise,9
biotoise,Biotoise,8
blarsienne,Blarsienne,10
boissierienne,Boissiérienne,13
boussacoise,Boussacoise,11
brengoise,Brengoise,9
bretenouvienne,Bretenouvienne,14
cabreretienne,Cabrerétienne,13
cadriaise,Cadriaise,9
cadurcienne,Cadurcienne,11
cahussienne,Cahussienne,11
caillacoise,Caillacoise,11
cajarcoise,Cajarcoise,10
calamanaise,Calamanaise,11
calesienne,Calésienne,10
calviacoise,Calviacoise,11
calvignacoise,Calvignacoise,13
cambayracienne,Cambayracienne,14
camboise,Camboise,8
camboulicoise,Camboulicoise,13
camburatoise,Camburatoise,12
caniacoise,Caniacoise,10
capdenacoise,Capdenacoise,12
carayacoise,Carayacoise,11
cardaillacoise,Cardaillacoise,14
carennacoise,Carennacoise,12
carlucetoise,Carlucetoise,12
carnacoise,Carnacoise,10
cassagnaise,Cassagnaise,11
castelfrancoise,Castelfrancoise,15
castelnaudaise,Castelnaudaise,14
catusienne,Catusienne,10
cavagnacoise,Cavagnacoise,12
cazalaise,Cazalaise,9
cazillacoise,Cazillacoise,12
cenevieroise,Ceneviéroise,12
cezacoise,Cézacoise,9
cieuracoise,Cieuracoise,11
comiacoise,Comiacoise,10
concoresienne,Concorésienne,13
concotoise,Concotoise,10
condataise,Condataise,10
cornicquoise,Cornicquoise,12
cornacoise,Cornacoise,10
coursienne,Coursienne,10
couzounaise,Couzounaise,11
crasoise,Crasoise,8
crayssacoise,Crayssacoise,12
cregolaise,Crégolaise,10
crempsoise,Crempsoise,10
cressensacoise,Cressensacoise,14
creyssoise,Creyssoise,10
cuzacoise,Cuzacoise,9
cuzancoise,Cuzançoise,10
degagnacoise,Dégagnacoise,12
douellienne,Douellienne,11
duraveloise,Duraveloise,11
durbansienne,Durbansienne,12
escampoise,Escampoise,10
esclauzeloise,Esclauzeloise,13
espagnaquoise,Espagnaquoise,13
espedaillacoise,Espédaillacoise,15
esperoise,Espéroise,9
espeyroussine,Espeyroussine,13
estaloise,Estaloise,9
fajolaise,Fajolaise,9
faycelloise,Faycelloise,11
felzinoise,Felzinoise,10
figeacoise,Figeacoise,10
flaugnacienne,Flaugnacienne,13
flaujacaise,Flaujacaise,11
flaujacoise,Flaujacoise,11
floiracoise,Floiracoise,11
floressacoise,Floressacoise,13
fonsoise,Fonsoise,8
fontanienne,Fontanienne,11
fontanoise,Fontanoise,10
fourmagnacoise,Fourmagnacoise,14
francoulesienne,Francoulésienne,15
frayssinoise,Frayssinoise,12
frayssinetoise,Frayssinetoise,14
frayssinhesienne,Frayssinhésienne,16
frontenacoise,Frontenacoise,13
gagnacoise,Gagnacoise,10
gignacoise,Gignacoise,10
gigouzacoise,Gigouzacoise,12
gindounaise,Gindounaise,11
ginouillacoise,Ginouillacoise,14
gintracoise,Gintracoise,11
giracoise,Giracoise,9
glanoise,Glanoise,8
gorsaise,Gorsaise,8
goujounacoise,Goujounacoise,13
gourdonnaise,Gourdonnaise,12
gramatoise,Gramatoise,10
grealonoise,Gréalonoise,11
grezeloise,Grezeloise,10
grezoise,Grézoise,8
issendolusoise,Issendolusoise,14
isseptoise,Isseptoise,10
haut-montoise,Haut-Montoise,13
vertienne,Vertienne,9
marnhacienne,Marnhacienne,12
bastidoise,Bastidoise,10
abathudoise,Abathudoise,11
laburgadoise,Laburgadoise,12
lacamoise,Lacamoise,9
capelloise,Capelloise,10
marivaloise,Marivaloise,11
lacavoise,Lacavoise,9
chapellaise,Chapellaise,11
ladiratoise,Ladiratoise,11
gardelloise,Gardelloise,11
lalbenquoise,Lalbenquoise,12
lamagdelainoise,Lamagdelainoise,15
mativienne,Mativienne,10
motacasseloise,Motacasseloise,14
lamothoise,Lamothoise,10
lanzacaise,Lanzacaise,10
ramieroise,Ramiéroise,10
larnagoloise,Larnagoloise,12
laroquoise,Laroquoise,10
rocatoiracoise,Rocatoiracoise,14
cabanesienne,Cabanésienne,12
latillacoise,Latillacoise,12
latronquieroise,Latronquiéroise,15
lauressasoise,Lauressasoise,13
lauzesoise,Lauzesoise,10
laval-de-ceroise,Laval-de-Céroise,16
vercantieraine,Vercantiéraine,14
lavergnoise,Lavergnoise,11
bastitoise,Bastitoise,10
boulveenne,Boulvéenne,10
borgeoise,Borgeoise,9
bouyssounaise,Bouyssounaise,13
montatoise,Montatoise,10
roucanelle,Roucanelle,10
vigannaise,Vigannaise,10
lebreilloise,Lebreilloise,12
lenzesienne,Lenzésienne,11
lentillacoise,Lentillacoise,13
leobardoise,Léobardoise,11
arquine,Arquine,7
junicoise,Junicoise,9
quatre-routoise,Quatre-Routoise,15
leymoise,Leymoise,8
lhermoise,Lhermoise,9
hospitaletienne,Hospitalétienne,15
limognaise,Limognaise,10
linacoise,Linacoise,9
lissacoise,Lissacoise,10
livernonoise,Livernonoise,12
loubressacoise,Loubressacoise,14
loupiacaise,Loupiacaise,11
lugagnacoise,Lugagnacoise,12
lunanaise,Lunanaise,9
lunegardaise,Lunegardaise,12
luzechoise,Luzechoise,10
marcilhacoise,Marcilhacoise,13
marminicoise,Marminicoise,12
martelaise,Martelaise,10
mascladaise,Mascladaise,11
maurouxoise,Maurouxoise,11
maxoucoise,Maxoucoise,10
mayracoise,Mayracoise,10
mayrintouroise,Mayrintouroise,14
mechmontoise,Mechmontoise,12
mercuesienne,Mercuésienne,12
meyronnaise,Meyronnaise,11
miersoise,Miersoise,9
milhacoise,Milhacoise,10
molieroise,Moliéroise,10
montameloise,Montameloise,12
montbrunoise,Montbrunoise,12
cabrimontienne,Cabrimontienne,14
clerimontienne,Clérimontienne,14
montcuquoise,Montcuquoise,12
montdoumercienne,Montdoumercienne,16
montexalaise,Montexalaise,12
montfauconnaise,Montfauconnaise,15
montgesticoise,Montgesticoise,14
montlauzunoise,Montlauzunoise,14
montredonoise,Montredonoise,13
montvalentaise,Montvalentaise,14
nadaillacaise,Nadaillacaise,13
nadillacoise,Nadillacoise,12
nuzejolienne,Nuzéjolienne,12
orniacoise,Orniacoise,10
padiracoise,Padiracoise,11
parnacoise,Parnacoise,10
payracoise,Payracoise,10
payrignacoise,Payrignacoise,13
pernoise,Pernoise,8
pescadarienne,Pescadarienne,13
peyrillaise,Peyrillaise,11
pinsaguaise,Pinsaguaise,11
planioloise,Planioloise,11
pomaredienne,Pomarédienne,12
pontcirquoise,Pontcirquoise,13
pradinoise,Pradinoise,10
prayssacoise,Prayssacoise,12
prendeignoise,Prendeignoise,13
promilhanaine,Promilhanaine,13
prudhomatoise,Prudhomatoise,13
puy-l-evequoise,Puy-l'Evêquoise,15
puybrunaise,Puybrunaise,11
puyjordanoise,Puyjordanoise,13
quissacoise,Quissacoise,11
rampoussienne,Rampoussienne,13
reilhacoise,Reilhacoise,11
reilhaguetoise,Reilhaguetoise,14
reyrevignoise,Reyrevignoise,13
rignacoise,Rignacoise,10
amadourienne,Amadourienne,12
rouffilhacoise,Rouffilhacoise,14
rudelloise,Rudelloise,10
rueyros,Rueyros,7
sabadeloise,Sabadeloise,11
sabadelloise,Sabadelloise,12
saignoise,Saignoise,9
saillacoise,Saillacoise,11
bressoise,Bressoise,9
saint-capraisienne,Saint-Capraisienne,18
saint-cereenne,Saint-Céréenne,14
saint-cerninoise,Saint-Cerninoise,16
saint-chamarandaise,Saint-Chamarandaise,19
saint-cheloise,Saint-Chéloise,14
saint-cirguoise,Saint-Cirguoise,15
saint-cirquoise,Saint-Cirquoise,15
saint-cyrienne,Saint-Cyrienne,14
saint-cirguettoise,Saint-Cirguettoise,18
saint-clairoise,Saint-Clairoise,15
saint-cyprienne,Saint-Cyprienne,15
saint-daunesienne,Saint-Daunésienne,17
saint-daunisienne,Saint-Daunisienne,17
saint-dyonesienne,Saint-Dyonésienne,17
saint-felixoise,Saint-Félixoise,15
saint-germanaise,Saint-Germanaise,16
saint-geryenne,Saint-Géryenne,14
hilairoise,Hilairoise,10
jeanlauroise,Jeanlauroise,12
ginestoise,Ginestoise,10
jeannassienne,Jeannassienne,13
mirabelienne,Mirabelienne,12
saint-laurentaise,Saint-Laurentaise,17
saint-laurentienne,Saint-Laurentienne,18
saint-martinoise,Saint-Martinoise,16
saint-martivalienne,Saint-Martivalienne,19
saint-martinoise,Saint-Martinoise,16
saint-matreenne,Saint-Matréenne,15
saint-mauricoise,Saint-Mauriçoise,16
medardienne,Médardienne,11
saint-medardane,Saint-Médardane,15
saint-medardaine,Saint-Médardaine,16
saint-micheliere,Saint-Michelière,16
saint-micheloise,Saint-Micheloise,16
saint-pantaleonienne,Saint-Pantaléonienne,20
saint-paulienne,Saint-Paulienne,15
saint-pauliere,Saint-Paulière,14
saint-perdoussienne,Saint-Perdoussienne,19
saint-pierrienne,Saint-Pierrienne,16
saint-pierrane,Saint-Pierrane,14
saint-projetoise,Saint-Projetoise,16
salvadorienne,Salvadorienne,13
saint-simonaise,Saint-Simonaise,15
saint-sozyenne,Saint-Sozyenne,14
saint-sulpicienne,Saint-Sulpicienne,17
saint-vincentaise,Saint-Vincentaise,17
saint-vincentoise,Saint-Vincentoise,17
sainte-alauzienne,Sainte-Alauzienne,17
saint-colombine,Saint-Colombine,15
saint-crucienne,Saint-Crucienne,15
salviacoise,Salviacoise,11
sarrazacoise,Sarrazacoise,12
sauliacoise,Sauliacoise,11
saussienne,Saussienne,10
sauzetienne,Sauzetienne,11
senaillacoise,Sénaillacoise,13
senaillacoise,Sénaillacoise,13
senierguoise,Senierguoise,12
serignacoise,Sérignacoise,12
sonacoise,Sonacoise,9
soturacoise,Soturacoise,11
souciracoise,Souciracoise,12
souillagaise,Souillagaise,12
soulomessoise,Soulomessoise,13
sousceyracoise,Sousceyracoise,14
strenqueloise,Strenqueloise,13
tauriacoise,Tauriacoise,11
terronaise,Terronaise,10
teyssiolaise,Teyssiolaise,12
thediracoise,Thédiracoise,12
thegratoise,Thégratoise,11
theminoise,Théminoise,10
theminettoise,Théminettoise,13
tourdefauroise,Tourdefauroise,14
touzacoise,Touzacoise,10
trespouzienne,Trespouzienne,13
usselaise,Usselaise,9
uzechaise,Uzéchaise,9
vaillacoise,Vaillacoise,11
valpriondoise,Valpriondoise,13
valroufieroise,Valroufiéroise,14
varairoise,Varairoise,10
vaylatoise,Vaylatoise,10
vayracoise,Vayracoise,10
versoise,Versoise,8
viazacoise,Viazacoise,10
vidaillacoise,Vidaillacoise,13
villesequoise,Villesèquoise,13
viroise,Viroise,7
agenaise,Agenaise,8
agmeenne,Agméenne,8
