rewrite,gentile_f_ville,nbre_car
vauxoise,Vauxoise,8
verjonnaise,Verjonnaise,11
versonnexoise,Versonnexoise,13
vicusienne,Vicusienne,10
villardoise,Villardoise,11
villeboisienne,Villeboisienne,14
villemontoise,Villemontoise,13
villeneuvoise,Villeneuvoise,13
surannaise,Surannaise,10
tramoyenne,Tramoyenne,10
villetoise,Villetoise,10
villacucienne,Villacucienne,13
viriatie,Viriatie,8
viriolane,Viriolane,9
viriolane,Viriolane,9
vonnassienne,Vonnassienne,12
abbecourtoise,Abbecourtoise,13
acheryenne,Acheryenne,10
aceenne,Acéenne,7
aguilcourtoise,Aguilcourtoise,14
aizelloise,Aizelloise,10
aizyjoise,Aizyjoise,9
alaincourtoise,Alaincourtoise,14
amblenoise,Amblenoise,10
ambrieroise,Ambriéroise,11
amifontenoise,Amifontenoise,13
amignyrouysienne,Amignyrouysienne,16
anguilcourtoise,Anguilcourtoise,15
anizienne,Anizienne,9
alnetune,Alnetune,8
archonaise,Archonaise,10
artempoise,Artempoise,10
artongeoise,Artongeoise,11
athissienne,Athissienne,11
attillienne,Attillienne,11
aubencheuloise,Aubencheuloise,14
aubentonnaise,Aubentonnaise,13
aubinoise,Aubinoise,9
albignyacoise,Albignyacoise,13
audignicourtoise,Audignicourtoise,16
audignoise,Audignoise,10
aulnoisienne,Aulnoisienne,12
autremencourtoise,Autremencourtoise,17
autrevillaise,Autrevillaise,13
azycienne,Azycienne,9
barentonaise,Barentonaise,12
barisienne,Barisienne,10
barzyenne,Barzyenne,9
bassoloise,Bassoloise,10
beaumeenne,Beauméenne,10
bellovisienne,Bellovisienne,13
beaurivoise,Beaurivoise,11
beautoroise,Beautoroise,11
beauvoisienne,Beauvoisienne,13
becquignoise,Becquignoise,12
bellenglisoise,Bellenglisoise,14
belleusienne,Belleusienne,12
bellicourtoise,Bellicourtoise,14
bernotoise,Bernotoise,10
berneenne,Bernéenne,9
berrieusienne,Berrieusienne,13
berryacoise,Berryacoise,11
bertaucourtoise,Bertaucourtoise,15
berthenicourtoise,Berthenicourtoise,17
bertricourtoise,Bertricourtoise,15
berzycienne,Berzycienne,11
besmontoise,Besmontoise,11
bethancourtoise,Béthancourtoise,15
beugneusienne,Beugneusienne,13
beuvardoise,Beuvardoise,11
bezuyate,Bézuyate,8
bezuacoise,Bézuacoise,10
bichancourtoise,Bichancourtoise,15
bieuxyoise,Bieuxyoise,10
bievroise,Bièvroise,9
billysienne,Billysienne,11
billyacoise,Billyacoise,11
blerancourtoise,Blérancourtoise,15
bohainoise,Bohainoise,10
sylvestrienne,Sylvestrienne,13
boncourtoise,Boncourtoise,12
bonneilloise,Bonneilloise,12
bosmontoise,Bosmontoise,11
bouconvilloise,Bouconvilloise,14
bouesienne,Bouésienne,10
bouffignereusienne,Bouffignereusienne,18
bourcominoise,Bourcominoise,13
brainoise,Brainoise,9
brancourtoise,Brancourtoise,13
brancourtoise,Brancourtoise,13
brasloise,Brasloise,9
brayoise,Brayoise,8
brayarde,Brayarde,8
brecoise,Bréçoise,8
brenelloise,Brenelloise,11
brioise,Brioise,7
brumetzienne,Brumetzienne,12
brunehameloise,Brunehameloise,14
bruyeroise,Bruyéroise,10
bruyeroise,Bruyéroise,10
bucilloise,Bucilloise,10
bucyquoise,Bucyquoise,10
bucyacoise,Bucyacoise,10
buiroise,Buiroise,8
buironfossoise,Buironfossoise,14
burelloise,Burelloise,10
buzanceenne,Buzancéenne,11
camelinoise,Camelinoise,11
castroise,Castroise,9
caulaincourtoise,Caulaincourtoise,16
caumontoise,Caumontoise,11
celloise,Celloise,8
cerseuilloise,Cerseuilloise,13
cessieroise,Cessièroise,11
chacrisoise,Chacrisoise,11
chaillevoisienne,Chaillevoisienne,16
chalandreenne,Chalandréenne,13
chambrysienne,Chambrysienne,13
chaoursienne,Chaoursienne,12
carlesienne,Carlésienne,11
charmoise,Charmoise,9
chartevoise,Chartévoise,11
chassemysienne,Chassemysienne,14
casteltheodoricienne,Castelthéodoricienne,20
chatillonnaise,Châtillonnaise,14
chatillonnaise,Châtillonnaise,14
chaudardaise,Chaudardaise,12
chaudunoise,Chaudunoise,11
chaunoise,Chaunoise,9
chavignonnaise,Chavignonnaise,14
chavignienne,Chavignienne,12
chermizyacoise,Chermizyacoise,14
chery-chartreuvoise,Chéry-Chartreuvoise,19
chevennoise,Chevennoise,11
chevresienne,Chevrésienne,12
cahusa,Cahusa,6
guernouillate,Guernouillate,13
cerisienne,Cerisienne,10
chivresienne,Chivresienne,12
chiviacussienne,Chiviacussienne,15
ciergeoise,Ciergeoise,10
cilloise,Cilloise,8
