rewrite,gentile_f_ville
cuissyacoise,Cuissyacoise
montecussienne,Montécussienne
cutryacoise,Cutryacoise
dallonoise,Dallonoise
dammardoise,Dammardoise
damloupienne,Damloupienne
danizienne,Danizienne
dizoise,Dizoise
dommarienne,Dommarienne
domptinoise,Domptinoise
dorengtoise,Dorengtoise
douchissoise,Douchissoise
ebouleausienne,Ebouleausienne
spanicienne,Spanicienne
palusienne,Palusienne
spicarienne,Spicarienne
eppoise,Eppoise
erlonaise,Erlonaise
essignaquoise,Essignaquoise
essignyacoise,Essignyacoise
essisoise,Essisoise
essomoise,Essomoise
etampoise,Etampoise
etreaupontoise,Etréaupontoise
etreilloise,Etreilloise
etreusienne,Etreusienne
evergnicourtoise,Evergnicourtoise
fucoldcurtissienne,Fucoldcurtissienne
fayelloise,Fayelloise
feroise,Féroise
festeolienne,Festéolienne
fieulainoise,Fieulainoise
flavienne,Flavienne
fluquieroise,Fluquièroise
folembraysienne,Folembraysienne
fonsommoise,Fonsommoise
fontenelloise,Fontenelloise
fontenaise,Fontenaise
fontenovicienne,Fontenovicienne
fossoyenne,Fossoyenne
fourdrinoise,Fourdrinoise
francilloise,Francilloise
fresnoise,Fresnoise
fresnoysienne,Fresnoysienne
fressancourtoise,Fressancourtoise
frieroise,Frièroise
gandelusienne,Gandelusienne
gasiaquoise,Gasiaquoise
germainoise,Germainoise
gernicourtoise,Gernicourtoise
gizycienne,Gizycienne
glamoise,Glamoise
glennoise,Glennoise
goudelancourtoise,Goudelancourtoise
goudelancourtoise,Goudelancourtoise
goussancourtoise,Goussancourtoise
goicienne,Goïcienne
verlyssienne,Verlyssienne
grandlupoise,Grandlupoise
gricourtoise,Gricourtoise
grisolloise,Grisolloise
grugeoise,Grugeoise
guignicourtoise,Guignicourtoise
guisarde,Guisarde
guyencourtoise,Guyencourtoise
haramontoise,Haramontoise
hargicourtoise,Hargicourtoise
harlysienne,Harlysienne
hartennoise,Hartennoise
hautevesnoise,Hautevesnoise
hautevilloise,Hautevilloise
hirsonnaise,Hirsonnaise
holnonaise,Holnonaise
homblieroise,Hombliéroise
houssetoise,Houssetoise
ironnaise,Ironnaise
itancourtoise,Itancourtoise
jaulgonnaise,Jaulgonnaise
jeancourtoise,Jeancourtoise
joncourtoise,Joncourtoise
jumencourtoise,Jumencourtoise
jumignyacoise,Jumignyacoise
jovinienne,Jovinienne
juvincourtoise,Juvincourtoise
capelloise,Capelloise
odonienne,Odonienne
laferoise,Laféroise
fertoise,Fertoise
milonaise,Milonaise
flamengroise,Flamengroise
malmaisonaise,Malmaisonaise
selvoise,Selvoise
valmuletiere,Valmuletière
villeboisienne,Villeboisienne
flaconiere,Flaconière
landouzienne,Landouzienne
laonnoise,Laonnoise
lappionnaise,Lappionnaise
launoyenne,Launoyenne
laversinoise,Laversinoise
catelesienne,Catelésienne
le-haucourtoise,"Le Haucourtoise"
nouvionnaise,Nouvionnaise
sourdoise,Sourdoise
virgultoise,Virgultoise
elmeroise,Elméroise
lempiroise,Lempiroise
lerzyenne,Lerzyenne
auteloise,Auteloise
leschelloise,Leschelloise
lesdinoise,Lesdinoise
lesquielloise,Lesquielloise
leuilloise,Leuilloise
levergeoise,Levergeoise
liessoise,Liessoise
liezoise,Liezoise
lisletoise,Lisletoise
lizienne,Lizienne
longipontaine,Longipontaine
longuevalloise,Longuevalloise
loriotte,Loriotte
loupeignoise,Loupeignoise
berlote,Berlote
luzoirienne,Luzoirienne
machecourtoise,Mâchecourtoise
macquignyquoise,Macquignyquoise
magnyfossienne,Magnyfossienne
maissemiacoise,Maissemiacoise
maziacaise,Maziacaise
manicampoise,Manicampoise
marchaisienne,Marchaisienne
mareuilloise,Mareuilloise
marloise,Marloise
marlysienne,Marlysienne
mals-peignee,Mals-Peignée
mauregnycienne,Mauregnycienne
mayotaine,Mayotaine
mennevilloise,Mennevilloise
mennevrezienne,Mennevrézienne
mercinoise,Mercinoise
merilocienne,Mérilocienne
mesbrecourtoise,Mesbrecourtoise
meurivaloise,Meurivaloise
macerienne,Macérienne
missyacoise,Missyacoise
axo-missienne,Axo-Missienne
lupimoncellienne,Lupimoncellienne
monceenne,Moncéenne
mondrepuisienne,Mondrepuisienne
montoise,Montoise
orignyquoise,Orignyquoise
mont-nostradamienne,Mont-Nostradamienne
montepierrine,Montépierrine
montacutaine,Montacutaine
montbavinoise,Montbavinoise
montbrehainoise,Montbrehainoise
montcornetoise,Montcornetoise
montescourtoise,Montescourtoise
montgobertoise,Montgobertoise
montgruaine,Montgruaine
monthieroise,Monthiéroise
monthurelloise,Monthurelloise
montignyaquoise,Montignyaquoise
ignymontaine,Ignymontaine
montignaise,Montignaise
montlevonicienne,Montlevonicienne
montreuilloise,Montreuilloise
morcourtoise,Morcourtoise
morsainoise,Morsainoise
mortefontainoise,Mortefontainoise
moulinoise,Moulinoise
moussyacoise,Moussyacoise
muretaine,Muretaine
muscourtoise,Muscourtoise
nantolienne,Nantolienne
nauroisienne,Nauroisienne
nesloise,Nesloise
neufchateloise,Neufchâteloise
frontonnaise,Frontonnaise
neuve-maisonnaise,Neuve-Maisonnaise
neuvilloise,Neuvilloise
neuvilloise,Neuvilloise
nizioise,Nizioise
nogentaise,Nogentaise
nogentelloise,Nogentelloise
noroisienne,Noroisienne
nouvionnaise,Nouvionnaise
nouvionnaise,Nouvionnaise
nouvronnaise,Nouvronnaise
noyantaise,Noyantaise
uliacoise,Uliacoise
ognoise,Ognoise
ohissoise,Ohissoise
ogniacienne,Ogniacienne
oiseenne,Oiséenne
ulmissienne,Ulmissienne
orainvilloise,Orainvilloise
aurinienne,Aurinienne
orignaquoise,Orignaquoise
ulcheenne,Ulchéenne
paareenne,Paaréenne
paissoise,Paissoise
pancyacoise,Pancyacoise
papleusienne,Papleusienne
parcyacoise,Parcyacoise
pargnantaise,Pargnantaise
pargnysienne,Pargnysienne
pargnysienne,Pargnysienne
paslysienne,Paslysienne
pavanaise,Pavanaise
perloise,Perloise
pernantaise,Pernantaise
verlyzienne,Verlyzienne
pierremandoise,Pierremandoise
pierrepontoise,Pierrepontoise
pignicourtoise,Pignicourtoise
pinonaise,Pinonaise
pithonaise,Pithonaise
plomionaise,Plomionaise
ployartaise,Ployartaise
pommeramienne,Pommeramienne
saint-mard-pontaine,Saint-Mard-Pontaine
pontavertoise,Pontavertoise
russipontaine,Russipontaine
pontruetoise,Pontruétoise
pauliacienne,Pauliacienne
premontoise,Prémontoise
premontroise,Prémontroise
presloise,Presloise
presloise,Presloise
prouvaisienne,Prouvaisienne
provisiolaine,Provisiolaine
podiscaine,Podiscaine
puteolienne,Putéolienne
cherizienne,Cherizienne
quinciacoise,Quinciacoise
raillimontoise,Raillimontoise
ramicourtoise,Ramicourtoise
regniaquoise,Regniaquoise
remaucourtoise,Remaucourtoise
remignoise,Remignoise
renansartoise,Renansartoise
rennevaloise,Rennevaloise
resignienne,Résignienne
ressonnaise,Ressonnaise
retheuilloise,Retheuilloise
